Species_ID,Length_cm,Location,MP_Stomach,stomach_mass
Vermillion,34,ML,1,11.8
Brown,36,ML,14,16.24
Canary,37,ML,1,11.92
Brown,32,ML,1,5.12
Canary,41,ML,1,16.05
Canary,32,EV,1,4.1
Blue,25.5,EV,1,11.8
Black,32.5,EV,5,7.63
Canary,31,EV,9,7.57
Blue,33.5,EV,6,13.73
Brown,29,EV,3,14.41
Gopher,26.5,EV,4,5.53
Blue,33.5,EV,0,11.84
Brown,31,EV,2,18.92
Vermillion,29.5,EV,10,5.33
Black,33,EV,0,4.45
Yellowtail,35.5,EV,5,4.94
Brown,27.5,EV,4,4.38
Yellowtail,31,ML,2,15.07
Yellowtail,33,ML,1,19.18
Yellowtail,32,ML,0,12
Canary,39,ML,0,19.65
Blue,27,PP,2,5.94
Blue,35.5,PP,0,15.05
Blue,27,PP,4,4.72
Blue,27.5,PP,2,6.07
Blue,30.5,PP,23,8.06
Blue,31.5,PP,7,2.98
Gopher,24.5,PP,3,6.42
Blue,22,SC,0,2.85
Black,33.5,SC,6,3.16
Vermillion,26,SC,5,8.75
Blue,27.5,SC,1,5.57
Blue,29,SC,3,10.74
Black,31.5,SC,2,3.37
Yellowtail,37,SC,7,10.82
Vermillion,37.5,SC,6,12.72
Black,29.5,SC,0,6.72
Yellowtail,35,PP,0,30.31
Yellowtail,35,ML,2,9.44
Blue,27,SC,15,6.78
Blue,27.5,PP,1,6.52
